ID,Time Spent On TV,Number Of Meals Per Day,Change In Weight,Health Issue During Lockdown,Stress Busters,Time Utilized,Connection Status,Activities Missed (Most),Age Group
75,0,2,Increased,YES,Leisure and Entertainment,YES,NO,Personal Exploration,Pre-Teens
76,0,3,Decreased,NO,Leisure and Entertainment,YES,YES,Education,Pre-Teens
77,4.5,3,Increased,NO,Social Media,NO,NO,Education,Young Adults
78,1,3,Increased,NO,Gaming,NO,YES,Education,Young Adults
79,0,4,Increased,NO,Watching videos,YES,YES,Travel and Exploration,Pre-Teens
80,1,2,Increased,YES,Social Media,NO,YES,Social Interactions,Young Adults
81,0,3,Remain Constant,NO,Gaming,NO,NO,Social Interactions,Young Adults
82,1,2,Increased,NO,Gaming,YES,YES,Education,Pre-Teens
83,2,2,Increased,NO,Gaming,NO,YES,Personal Exploration,Young Adults
84,0,3,Decreased,NO,Sleeping,YES,YES,Education,Young Adults
85,0,4,Decreased,NO,Social Media,NO,YES,Personal Exploration,Pre-Teens
86,0,3,Increased,YES,Leisure and Entertainment,YES,YES,Education,Young Adults
87,0,3,Decreased,NO,Meditation,NO,NO,All Options,Young Adults
88,0,4,Remain Constant,YES,Leisure and Entertainment,NO,NO,Dining and Entertainment,Pre-Teens
89,2,3,Increased,NO,Leisure and Entertainment,YES,YES,Education,Pre-Teens
90,0,3,Remain Constant,YES,Sports and games,NO,NO,Dining and Entertainment,Young Adults
91,0,3,Increased,NO,Leisure and Entertainment,NO,YES,Education,Pre-Teens
92,1.5,3,Increased,YES,Watching videos,NO,NO,Education,Pre-Teens
93,0,3,Decreased,NO,Sleeping,YES,YES,Education,Young Adults
94,1,3,Increased,NO,Leisure and Entertainment,NO,YES,Education,Young Adults
95,0,2,Remain Constant,NO,Reading books,NO,YES,Travel and Exploration,Pre-Teens
96,0,3,Remain Constant,NO,Leisure and Entertainment,NO,YES,Education,Pre-Teens
97,2,3,Increased,NO,Gaming,NO,YES,Dining and Entertainment,Young Adults
98,2,4,Increased,YES,Meditation,NO,YES,Social Interactions,Young Adults
99,0,3,Increased,NO,Leisure and Entertainment,NO,NO,Education,Young Adults
100,1,3,Remain Constant,NO,Social Media,YES,YES,Travel and Exploration,Pre-Teens
101,1,2,Remain Constant,NO,Watching videos,NO,YES,Education,Young Adults
102,0,4,Decreased,YES,Leisure and Entertainment,YES,NO,Travel and Exploration,Young Adults
103,1,2,Remain Constant,NO,Leisure and Entertainment,NO,NO,Social Interactions,Pre-Teens
104,0,5,Increased,NO,Reading books,YES,YES,Sports and Activities,Young Adults
105,0,3,Increased,NO,Communication with others,YES,NO,Travel and Exploration,Young Adults
106,0,2,Remain Constant,NO,Leisure and Entertainment,NO,NO,Education,Pre-Teens
107,0,3,Increased,NO,Leisure and Entertainment,NO,NO,Education,Young Adults
108,1,3,Decreased,NO,Leisure and Entertainment,YES,YES,Personal Exploration,Pre-Teens
109,4,3,Remain Constant,NO,Gaming,YES,NO,Social Interactions,Children
110,0.3,2,Decreased,NO,Communication with others,YES,YES,Education,Young Adults
111,0,2,Increased,YES,Sleeping,NO,YES,Education,Young Adults
112,0,4,Remain Constant,NO,Sleeping,NO,YES,Education,Pre-Teens
113,1,5,Increased,NO,Social Media,NO,NO,Social Interactions,Pre-Teens
114,0,3,Remain Constant,NO,Gaming,NO,YES,Education,Pre-Teens
115,1,3,Remain Constant,NO,Reading books,YES,NO,Education,Pre-Teens
116,2,3,Increased,NO,Gaming,YES,YES,Social Interactions,Young Adults
117,1,3,Remain Constant,NO,Sleeping,YES,YES,Social Interactions,Pre-Teens
118,1,3,Increased,NO,Exercise,YES,YES,Travel and Exploration,Young Adults
119,0,3,Increased,NO,Watching videos,NO,YES,Education,Pre-Teens
120,0,4,Remain Constant,NO,Leisure and Entertainment,NO,YES,Travel and Exploration,Pre-Teens
121,0,3,Remain Constant,NO,Meditation,YES,YES,Education,Young Adults
122,0,3,Remain Constant,NO,Meditation,YES,YES,Social Interactions,Young Adults
123,0,3,Increased,NO,Watching videos,YES,NO,Personal Exploration,Pre-Teens
124,0,2,Increased,YES,Sleeping,NO,NO,Education,Pre-Teens
125,1,3,Increased,NO,Meditation,YES,YES,Education,Young Adults
126,0.5,3,Remain Constant,NO,Leisure and Entertainment,YES,YES,Personal Exploration,Young Adults
127,0,4,Decreased,NO,Leisure and Entertainment,NO,NO,Personal Exploration,Pre-Teens
128,1.5,4,Increased,NO,Leisure and Entertainment,YES,YES,Education,Pre-Teens
129,1,1,Decreased,NO,Leisure and Entertainment,NO,YES,Dining and Entertainment,Pre-Teens
130,2,2,Decreased,NO,Meditation,YES,YES,Travel and Exploration,Young Adults
131,1,2,Remain Constant,NO,Leisure and Entertainment,NO,YES,Education,Pre-Teens
132,2,2,Increased,NO,Watching videos,YES,YES,Travel and Exploration,Pre-Teens
133,2,3,Decreased,NO,Leisure and Entertainment,NO,YES,Education,Young Adults
134,0,4,Increased,NO,Sleeping,YES,YES,Personal Exploration,Pre-Teens
135,0,5,Increased,NO,Gaming,NO,YES,Social Interactions,Young Adults
136,0,3,Remain Constant,NO,Gaming,NO,YES,Personal Exploration,Pre-Teens
137,1,3,Remain Constant,NO,Exercise,NO,YES,Dining and Entertainment,Pre-Teens
138,0,3,Remain Constant,NO,Leisure and Entertainment,YES,YES,Personal Exploration,Young Adults
139,0,3,Decreased,NO,Gaming,NO,YES,Education,Pre-Teens
140,1,2,Remain Constant,YES,Watching videos,YES,YES,Education,Young Adults
141,2,2,Decreased,NO,Meditation,YES,YES,Travel and Exploration,Young Adults
142,0,2,Increased,NO,Sleeping,YES,YES,Education,Young Adults
143,1,2,Increased,NO,Leisure and Entertainment,YES,YES,Social Interactions,Pre-Teens
144,3,2,Increased,NO,Watching videos,YES,YES,Dining and Entertainment,Pre-Teens
145,1,3,Remain Constant,NO,Leisure and Entertainment,YES,NO,Social Interactions,Pre-Teens
146,0,3,Increased,YES,Communication with others,YES,YES,Education,Young Adults
147,2,3,Remain Constant,NO,Leisure and Entertainment,NO,NO,Personal Exploration,Young Adults
148,0.5,2,Increased,YES,Gaming,NO,YES,Social Interactions,Pre-Teens
149,0,3,Remain Constant,NO,Leisure and Entertainment,YES,YES,Dining and Entertainment,Pre-Teens
150,0,3,Remain Constant,NO,Leisure and Entertainment,NO,NO,Dining and Entertainment,Pre-Teens
151,0,3,Increased,NO,Sleeping,NO,YES,Personal Exploration,Young Adults
152,1,4,Remain Constant,NO,Leisure and Entertainment,YES,YES,Social Interactions,Pre-Teens
153,3,4,Increased,NO,Leisure and Entertainment,NO,NO,Personal Exploration,Young Adults
154,1,1,Decreased,YES,Reading books,NO,YES,Dining and Entertainment,Young Adults
155,0,4,Remain Constant,YES,Leisure and Entertainment,YES,YES,Social Interactions,Pre-Teens
156,0,2,Increased,NO,Gaming,NO,YES,Dining and Entertainment,Young Adults
157,0,2,Decreased,NO,Gaming,NO,NO,Travel and Exploration,Young Adults
158,1,3,Remain Constant,NO,Leisure and Entertainment,YES,YES,Dining and Entertainment,Young Adults
159,0,3,Increased,YES,Reading books,NO,YES,Education,Young Adults
160,4,3,Increased,NO,Gaming,NO,NO,Social Interactions,Young Adults
161,2,3,Increased,YES,Sleeping,NO,YES,Education,Young Adults
162,0,4,Increased,NO,Gaming,NO,YES,Travel and Exploration,Young Adults
163,1,3,Remain Constant,YES,Gaming,NO,YES,Social Interactions,Young Adults
164,0,2,Increased,YES,Watching videos,NO,NO,Personal Exploration,Young Adults
165,0,2,Increased,NO,Leisure and Entertainment,NO,NO,Travel and Exploration,Young Adults
166,0,3,Increased,NO,Sleeping,YES,NO,Education,Young Adults
167,0,7,Increased,NO,Leisure and Entertainment,NO,YES,Education,Young Adults
168,0,3,Increased,NO,Social Media,NO,NO,Education,Young Adults
169,2,4,Increased,NO,Gaming,NO,YES,Social Interactions,Pre-Teens
170,1,3,Remain Constant,YES,Leisure and Entertainment,YES,YES,Education,Young Adults
171,1,3,Decreased,YES,Reading books,NO,YES,Personal Exploration,Young Adults
172,1,3,Increased,NO,Gaming,YES,YES,Social Interactions,Pre-Teens
173,0,3,Remain Constant,NO,Sleeping,NO,YES,Education,Young Adults
174,4,3,Decreased,NO,Sleeping,YES,YES,Personal Exploration,Young Adults
175,0,2,Decreased,YES,Gaming,YES,YES,Social Interactions,Young Adults
176,2,3,Remain Constant,NO,Sleeping,YES,YES,Travel and Exploration,Adults
177,2,5,Decreased,NO,Watching videos,NO,YES,Personal Exploration,Young Adults
178,0,4,Remain Constant,NO,Gaming,NO,YES,Social Interactions,Young Adults
179,1,4,Increased,NO,Leisure and Entertainment,NO,YES,Social Interactions,Young Adults
180,0,3,Remain Constant,NO,Watching videos,YES,NO,Social Interactions,Young Adults
181,0,3,Remain Constant,NO,Gaming,YES,YES,Education,Young Adults
182,2,3,Increased,YES,Leisure and Entertainment,YES,YES,Personal Exploration,Pre-Teens
183,0,3,Remain Constant,NO,Communication with others,YES,YES,Social Interactions,Young Adults
184,1.5,2,Decreased,YES,Watching videos,NO,NO,Social Interactions,Young Adults
185,5,3,Remain Constant,NO,Reading books,NO,YES,Social Interactions,Pre-Teens
186,0,3,Remain Constant,YES,Leisure and Entertainment,NO,NO,Education,Young Adults
187,1,3,Increased,NO,Leisure and Entertainment,YES,YES,Education,Young Adults
188,0,3,Increased,NO,Communication with others,YES,YES,Education,Pre-Teens
189,0,2,Decreased,NO,Gaming,NO,YES,Education,Young Adults
190,2,3,Remain Constant,NO,Watching videos,NO,YES,Education,Pre-Teens
191,0,3,Remain Constant,NO,Watching videos,NO,YES,Social Interactions,Young Adults
192,0,3,Decreased,YES,Communication with others,NO,NO,Education,Young Adults
193,1,3,Remain Constant,NO,Communication with others,YES,YES,Travel and Exploration,Adults
194,0,3,Remain Constant,NO,Communication with others,NO,YES,Social Interactions,Young Adults
195,0,2,Remain Constant,YES,Gaming,NO,NO,Family and Activities,Adults
196,2,3,Remain Constant,NO,Communication with others,YES,YES,Social Interactions,Young Adults
197,0,3,Remain Constant,NO,Leisure and Entertainment,YES,YES,Education,Young Adults
198,0.5,4,Increased,NO,Sleeping,YES,NO,Education,Young Adults
199,1,2,Increased,NO,Watching videos,NO,NO,Personal Exploration,Young Adults
200,0,2,Remain Constant,NO,Sleeping,YES,YES,Education,Pre-Teens
201,0.5,2,Remain Constant,NO,Meditation,YES,YES,Personal Exploration,Young Adults
202,0,3,Remain Constant,NO,Leisure and Entertainment,YES,YES,Travel and Exploration,Young Adults
203,0,3,Remain Constant,NO,Reading books,YES,YES,Travel and Exploration,Young Adults
204,0,4,Increased,NO,Watching videos,NO,NO,Travel and Exploration,Young Adults
205,0.5,2,Remain Constant,NO,Exercise,YES,YES,Education,Young Adults
206,0,3,Remain Constant,NO,Reading books,YES,YES,All Options,Pre-Teens
207,0,2,Remain Constant,NO,Gaming,YES,NO,Social Interactions,Pre-Teens
208,1,2,Increased,NO,Sleeping,YES,YES,Education,Middle-Aged Adults
